u_id,b_id,a_id,name,average_rating,ratings_count,text_reviews_count
1983804,906943,128738,Li-Young Lee,4.20,6024,353
1765216,15783514,1221698,Neil Gaiman,4.13,3471020,191539
1765216,15994204,6541079,Kimberly Wollenburg,4.04,256,22
1765216,13748038,7423138,Natasha Dow Schüll,3.96,211,30
1765216,13119511,137134,Steven Martin,3.98,483,80
1765216,9673436,38120,Brian Selznick,4.04,308348,26349
1765216,2666,3083854,Tom Wolfe,3.82,185693,8378
1765216,6997364,1973,Tracy Chevalier,3.79,554464,18923
1765216,4667024,1943477,Kathryn Stockett,4.45,1341566,74282
1765216,2180222,41209,Jennifer Haigh,3.68,31484,4588
1765216,7012577,133538,Christopher McDougall,4.26,102360,10824
1765216,112525,65135,Daniel Woodrell,3.82,35390,4972
1765216,204286,24805,William Sears,3.96,22525,2368
1765216,763679,65135,Daniel Woodrell,3.82,35390,4972
1765216,1768603,810254,Aravind Adiga,3.67,117194,8510
1765216,6480781,54066,Andre Agassi,4.14,44698,4187
1765216,4657432,1939643,Daniyal Mueenuddin,3.76,5783,847
1765216,225582,132033,Ved Mehta,4.01,435,50
1765216,1033128,129418,David Chelsea,3.96,2374,44
1765216,5849,3989,V.S. Naipaul,3.69,44251,2948
1765216,2075129,57576,Thomas Kohnstamm,3.28,1466,221
1765216,9791,7,Bill Bryson,4.01,830321,49999
1765216,1898,1235,Jon Krakauer,3.97,1003100,39515
1765216,7603,5151,Azar Nafisi,3.59,97709,6669
1765216,77203,569,Khaled Hosseini,4.24,2533259,114266
1765216,33917,3670,Jhumpa Lahiri,3.99,424823,30335
1765216,3805,2578,Jonathan Franzen,3.71,274837,24767
1765216,170453,811,Yann Martel,3.85,968368,43472
1765216,1241,822,James Frey,3.66,234800,15274
1765216,88061,6356,Barack Obama,3.72,220206,10103
1765216,529172,8333335,Z.Z. Packer,3.81,4946,484
