book_isbn,avg_rating,five_rating,four_rating,three_rating,two_rating,one_rating
0385334206,4.2,60,19,10,4,7
0836220889,4.8,90,6,2,1,1
0836218051,4.8,91,6,0,1,2
1400049628,4.4,65,20,8,3,4
0345461460,2.4,25,12,0,0,63
0316015849,4.1,65,11,7,5,12
0765341840,4.0,55,16,13,6,10
0743477545,4.4,69,17,7,3,4
0439064864,4.7,80,13,4,1,2
0691096120,4.2,64,12,9,5,10
0142437336,4.1,51,28,9,5,7
0743477103,4.3,66,17,7,4,6
0345347676,4.7,83,13,0,0,4
0743297334,3.8,45,20,15,9,11
0316033677,4.2,56,25,7,6,6
0451222350,4.2,58,21,12,6,3
0451412354,4.5,69,21,7,2,1
0449911802,4.1,46,36,7,7,4
080411918X,4.1,45,34,11,4,6
0449911608,4.2,51,32,9,4,4
0374230641,4.0,45,33,0,22,0
0374524807,4.2,52,21,22,5,0
0374506809,4.7,71,25,4,0,0
0767915607,4.4,60,27,6,4,3
0061452297,4.4,60,20,17,3,0
1401323820,4.2,49,31,13,3,4
0486299929,4.5,71,23,0,0,6
0837195780,4.4,68,19,6,0,7
0802130593,3.8,44,5,45,0,6
0316041440,4.6,69,23,6,0,2
0440227534,4.7,78,17,3,1,1
0099409968,4.0,51,19,15,7,8
0972169539,4.7,82,9,9,0,0
0972169520,4.7,90,3,0,0,7
0972169504,4.7,87,7,1,2,3
1592402038,4.1,54,24,9,7,6
0763625299,4.4,69,17,5,3,6
0312424094,3.8,46,18,14,10,12
0743482751,4.2,57,25,8,5,5
0060775823,4.5,77,9,5,3,6
0142402494,4.6,79,11,6,2,2
0440416795,4.3,66,16,5,5,8
0679433139,4.2,69,10,6,5,10
0812550706,4.6,72,18,6,2,2
0375836675,4.3,57,27,9,4,3
0849946158,4.5,77,11,5,2,5
0316018740,4.4,63,21,9,3,4
1598879278,3.7,37,24,16,13,10
0842329218,4.1,60,17,9,6,8
0842342702,4.1,64,13,7,4,12
014038572X,4.6,75,18,4,1,2
0375806814,4.7,81,12,3,1,3
0786851627,4.7,78,17,4,1,0
0142405736,4.5,66,27,4,1,2
0439023491,4.7,76,18,4,1,1
0439023513,4.3,62,19,10,5,4
0439023483,4.6,77,16,4,1,2
1594744769,4.3,55,27,12,4,2
1906124760,4.2,54,31,7,0,8
0932633692,4.3,56,28,11,0,5
